,vars,means,stds
0,Intercept,-10.876736692647052,3.052321471332463
1,q_ren,-0.0016542093601073639,0.00012936149499082294
2,p1,-0.005373079108103965,0.006945618701189888
3,p2,0.11155318375246925,0.01620178265106906
4,p3,0.05026425851808043,0.01413236384370495
5,p4,0.00455063077414449,0.011817611737324782
6,p5,-0.01414708800959897,0.006208698584938065
7,p6,0.03217311021402571,0.016140632225557096
8,demand,0.002365441592236475,6.439670352595025e-05
9,wind,-0.0029703875526014443,6.509101225098235e-05
10,solar,-0.0024149654631935693,0.00034983832381211487
11,dayweek_1,0.15464454244612283,0.46931871031356304
12,dayweek_2,-0.9612864094896262,0.5333042684296496
13,dayweek_3,-2.2779694680796987,0.5310243029085554
14,dayweek_4,-2.1321547204048312,0.528575202881541
15,dayweek_5,-0.8804752360424244,0.529309997188193
16,dayweek_6,-3.8788841364146793,0.47917991154116707
17,month_2,0.2748910865941004,0.43868849647966474
18,month_3,-1.214738707192409,0.4990965196368793
19,month_4,-0.24858841910975715,0.5942415600520987
20,month_5,-0.45171978536714985,0.7118230332008516
21,month_6,-1.900044602982334,0.7824336259772265
22,month_7,-1.352087646999529,0.7559395182609401
23,month_8,0.5398086119334912,0.6785406725720178
24,month_9,-0.4071882638081596,0.585120670737671
25,month_10,-0.47400146696229983,0.5002073649036108
26,month_11,0.9579325628320461,0.43638204099819844
27,month_12,1.340831682695621,0.4389013410607259
28,holidays,1.341592574186395,0.5556633783109403
29,price_1d,0.23038894510330366,0.007376358861764523
30,price_2d,0.029902864087568627,0.007456220342198446
31,price_3d,0.07498269073326823,0.00767694181677602
32,price_4d,0.06076263362957316,0.007817942162011437
33,price_5d,0.07364490342408894,0.007356062423499351
34,price_6d,0.0815466784720946,0.007464484882555125
35,price_7d,0.1169793572836782,0.007744950000155799
36,wind_1d,0.0009818028288857467,7.062731819837139e-05
37,wind_2d,-9.964539792235112e-05,4.424011001467474e-05
38,wind_3d,0.00027316055238449453,4.5854196151198574e-05
39,wind_4d,-0.00024407105306236307,4.811270158016528e-05
40,wind_5d,0.0002577621924185963,4.701220693414162e-05
41,wind_6d,0.00015271003936512674,4.6464676995190106e-05
42,wind_7d,0.0003840240208041514,4.1457053690656155e-05
43,wind_rmean,-7.935717675308823e-05,0.0002048606967090779
44,wind_rmax,-0.00022289126021992841,0.0001355662442586515
45,wind_rmin,9.007097487580821e-05,0.00015042577253352154
46,solar_1d,0.0008240999375241449,0.00040742604127050076
47,solar_2d,0.00011749532122288295,0.00040566814006387736
48,solar_3d,-4.854526122694272e-05,0.0004217326301900461
49,solar_4d,6.335080912017755e-07,0.000405984092342498
50,solar_5d,0.0003271027194690813,0.0003980962277880618
51,solar_6d,0.0004556686705229649,0.0004003873973059837
52,solar_7d,-0.0007499435906735303,0.00034370441516593143
53,solar_rmean,-0.0063187106428841,0.001750189339862791
54,solar_rmax,0.003280939033575951,0.0005819634183816888
55,demand_1d,-0.0006671357096140168,6.594353991388875e-05
56,demand_2d,0.00019968327853443288,6.223788795110012e-05
57,demand_3d,-8.310175745289818e-05,6.263195830653358e-05
58,demand_4d,-0.00015801913596556348,6.43404070544e-05
59,demand_5d,-0.00022800301386738435,6.363613829961403e-05
60,demand_6d,-0.00018291531554801154,6.315259750107956e-05
61,demand_7d,-0.0007669123432358646,6.148444798380834e-05
62,demand_rmean,0.00011281358878093517,0.0001798466977889739
63,demand_rmax,-0.0005223649860028715,0.00013429230135847598
64,demand_rmin,0.0012356648382221044,0.00016669253632310428
